image_id,label,variety,age
PDD00001_001.jpg,bacterial_leaf_blight,45,65
PDD00001_002.jpg,bacterial_leaf_blight,45,65
PDD00001_003.jpg,bacterial_leaf_blight,45,65
PDD00002_001.jpg,bacterial_leaf_blight,45,60
PDD00002_002.jpg,bacterial_leaf_blight,45,60
PDD00002_003.jpg,bacterial_leaf_blight,45,60
PDD00003_001.jpg,bacterial_leaf_blight,45,55
PDD00003_002.jpg,bacterial_leaf_blight,45,55
PDD00003_003.jpg,bacterial_leaf_blight,45,55
PDD00004_001.jpg,bacterial_leaf_blight,KarnatakaPonni,50
PDD00004_002.jpg,bacterial_leaf_blight,KarnatakaPonni,50
PDD00004_003.jpg,bacterial_leaf_blight,KarnatakaPonni,50
PDD00005_001.jpg,bacterial_leaf_blight,45,72
PDD00005_002.jpg,bacterial_leaf_blight,45,72
PDD00005_003.jpg,bacterial_leaf_blight,45,72
PDD00005_004.jpg,bacterial_leaf_blight,45,72
PDD00006_001.jpg,bacterial_leaf_blight,45,68
PDD00006_002.jpg,bacterial_leaf_blight,45,68
PDD00006_003.jpg,bacterial_leaf_blight,45,68
PDD00007_001.jpg,bacterial_leaf_blight,Ponni,47
PDD00007_002.jpg,bacterial_leaf_blight,Ponni,47
PDD00007_003.jpg,bacterial_leaf_blight,Ponni,47
PDD00008_001.jpg,bacterial_leaf_blight,45,55
PDD00008_002.jpg,bacterial_leaf_blight,45,55
PDD00008_003.jpg,bacterial_leaf_blight,45,55
PDD00009_001.jpg,bacterial_leaf_blight,45,72
PDD00009_002.jpg,bacterial_leaf_blight,45,72
PDD00009_003.jpg,bacterial_leaf_blight,45,72
PDD00010_001.jpg,bacterial_leaf_blight,45,55
PDD00010_002.jpg,bacterial_leaf_blight,45,55
PDD00010_003.jpg,bacterial_leaf_blight,45,55
PDD00011_001.jpg,bacterial_leaf_blight,45,72
PDD00011_002.jpg,bacterial_leaf_blight,45,72
PDD00011_003.jpg,bacterial_leaf_blight,45,72
PDD00012_001.jpg,bacterial_leaf_blight,45,72
PDD00012_002.jpg,bacterial_leaf_blight,45,72
PDD00012_003.jpg,bacterial_leaf_blight,45,72
PDD00013_001.jpg,bacterial_leaf_blight,45,50
PDD00013_002.jpg,bacterial_leaf_blight,45,50
PDD00013_003.jpg,bacterial_leaf_blight,45,50
PDD00014_001.jpg,bacterial_leaf_blight,45,72
PDD00014_002.jpg,bacterial_leaf_blight,45,72
PDD00014_003.jpg,bacterial_leaf_blight,45,72
PDD00015_001.jpg,bacterial_leaf_blight,45,72
PDD00015_002.jpg,bacterial_leaf_blight,45,72
PDD00015_003.jpg,bacterial_leaf_blight,45,72
PDD00016_001.jpg,bacterial_leaf_blight,IR20,50
PDD00016_002.jpg,bacterial_leaf_blight,IR20,50
PDD00016_003.jpg,bacterial_leaf_blight,IR20,50
PDD00017_001.jpg,bacterial_leaf_blight,45,55
PDD00017_002.jpg,bacterial_leaf_blight,45,55
PDD00017_003.jpg,bacterial_leaf_blight,45,55
PDD00018_001.jpg,bacterial_leaf_blight,45,55
PDD00018_002.jpg,bacterial_leaf_blight,45,55
PDD00018_003.jpg,bacterial_leaf_blight,45,55
PDD00019_001.jpg,bacterial_leaf_blight,45,72
PDD00019_002.jpg,bacterial_leaf_blight,45,72
PDD00019_003.jpg,bacterial_leaf_blight,45,72
PDD00020_001.jpg,bacterial_leaf_blight,45,55
PDD00020_002.jpg,bacterial_leaf_blight,45,55
PDD00020_003.jpg,bacterial_leaf_blight,45,55
PDD00021_001.jpg,bacterial_leaf_blight,45,72
PDD00021_002.jpg,bacterial_leaf_blight,45,72
PDD00021_003.jpg,bacterial_leaf_blight,45,72
PDD00022_001.jpg,bacterial_leaf_blight,45,68
PDD00022_002.jpg,bacterial_leaf_blight,45,68
PDD00022_003.jpg,bacterial_leaf_blight,45,68
PDD00023_001.jpg,bacterial_leaf_blight,KarnatakaPonni,50
PDD00023_002.jpg,bacterial_leaf_blight,KarnatakaPonni,50
PDD00023_003.jpg,bacterial_leaf_blight,KarnatakaPonni,50
PDD00024_001.jpg,bacterial_leaf_blight,45,68
PDD00024_002.jpg,bacterial_leaf_blight,45,68
PDD00024_003.jpg,bacterial_leaf_blight,45,68
PDD00025_001.jpg,bacterial_leaf_blight,45,50
PDD00025_002.jpg,bacterial_leaf_blight,45,50
PDD00025_003.jpg,bacterial_leaf_blight,45,50
PDD00026_001.jpg,bacterial_leaf_blight,45,68
PDD00026_002.jpg,bacterial_leaf_blight,45,68
PDD00026_003.jpg,bacterial_leaf_blight,45,68
PDD00027_001.jpg,bacterial_leaf_blight,45,60
PDD00027_002.jpg,bacterial_leaf_blight,45,60
